playerName,action
J. Arencibia,falló en roletazo al lanzador (13)
R. Lazaga,batea doble de línea al jardín izquierdo
L. Blanco,falló en roletazo a primera (31). R. Lazaga avanza a tercera base
P. Rodríguez,batea sencillo de roletazo al jardín izquierdo . R. Lazaga anota
Y. González,se embasa por fielder choice de roletazo al campo corto (64). P. Rodríguez es Out
H. Bravo,se poncha
L. Chapelli,recibe base por bolas
L. González,falló en elevado al jardín central
Y. Samón,batea sencillo de línea al jardín derecho. L. Chapelli avanza a tercera base
A. Ayala,recibe base por bolas. Y. Samón avanza a segunda base
L. Segura,falló en elevado
R. León,batea sencillo de línea al jardín izquierdo
L. Acosta,batea para doble play en roletazo al campo corto (6443). R. León es Out
P. Dueńas,batea sencillo de roletazo al jardín izquierdo 
O. Peńa,se embasa por fielder choice de roletazo al campo corto (64). P. Dueńas es Out
Y. Pérez,recibe base por bolas
L. Gómez,sacrificio de Hit de roletazo a primera (34). Y. Pérez avanza a segunda base
Y. Flores,recibe pelotazo
H. Bravo,"recibe base por bolas. Y. Flores avanza a segunda base, Y. Pérez avanza a tercera base"
L. Chapelli,se poncha
L. González,se poncha
J. Arencibia,conecta Jonrón de fly al jardín izquierdo
R. Lazaga,batea sencillo de línea al jardín derecho
L. Blanco,batea sencillo de roletazo al jardín derecho 9. R. Lazaga avanza a tercera base
Cierre de,"actuación del Lanzador #76 - Y. Saborit [ INN: 2.0, BE: 12, VB: 12, C: 4, CL: 3 ]"
Cambio de,lanzador: Entra L. Hernández - Sale Y. Saborit
P. Rodríguez,"batea sencillo de roletazo al jardín izquierdo . L. Blanco avanza a tercera base, R. Lazaga anota"
Y. González,falló en elevado
R. León,falló en elevado al jardín derecho
L. Acosta,"batea sencillo de roletazo al jardín central . P. Rodríguez avanza a segunda base, L. Blanco anota"
P. Dueńas,se embasa por fielder choice de roletazo al campo corto (64). L. Acosta es Out
Y. Samón,se poncha
A. Ayala,falló en roletazo a segunda (43)
L. Segura,batea sencillo de roletazo 
Y. Pérez,recibe pelotazo. L. Segura avanza a segunda base
L. Gómez,se poncha
O. Peńa,se poncha
J. Arencibia,recibe base por bolas
R. Lazaga,continua bateando. J. Arencibia se roba segunda base
R. Lazaga,falló en roletazo a segunda (43). J. Arencibia avanza a tercera base
L. Blanco,batea doble de línea al jardín derecho. J. Arencibia anota
P. Rodríguez,batea doble de línea al jardín izquierdo. L. Blanco anota
Y. González,falló en roletazo al lanzador (13)
Cierre de,"actuación del Lanzador #27 - B. Rodríguez [ INN: 3.0, BE: 17, VB: 10, C: 0, CL: 0 ]"
Cambio de,lanzador: Entra F. Medina - Sale B. Rodríguez
Y. Flores,falló en roletazo al lanzador (13)
H. Bravo,se embasa por Error probabilidad de Out de roletazo a tercera (5)
L. Chapelli,recibe base por bolas. H. Bravo avanza a segunda base
L. González,falló en elevado al jardín derecho
Y. Samón,"batea sencillo de fly al jardín derecho. L. Chapelli avanza a tercera base, H. Bravo anota"
A. Ayala,se poncha
Cierre de,"actuación del Lanzador #64 - L. Hernández [ INN: 2.0, BE: 11, VB: 10, C: 2, CL: 2 ]"
Cambio de,lanzador: Entra J. Martínez - Sale L. Hernández
R. León,se poncha
L. Acosta,conecta Jonrón de fly al jardín izquierdo
P. Dueńas,recibe base por bolas
O. Peńa,se poncha
J. Arencibia,falló en línea al jardín central
L. Segura,falló en roletazo a segunda (43)
Y. Pérez,se poncha
L. Gómez,falló en roletazo a tercera (53)
Cierre de,"actuación del Lanzador #94 - J. Martínez [ INN: 1.0, BE: 5, VB: 4, C: 1, CL: 1 ]"
Cambio de,lanzador: Entra A. Pérez - Sale J. Martínez
R. Lazaga,falló en línea al jardín central
L. Blanco,falló en roletazo a segunda (43)
P. Rodríguez,falló en elevado al jardín central
Y. Flores,falló en elevado al jardín central
H. Bravo,se poncha
L. Chapelli,se poncha
Cierre de,"actuación del Lanzador #28 - A. Pérez [ INN: 1.0, BE: 3, VB: 3, C: 0, CL: 0 ]"
Cambio de,"lanzador: Entra A. Mulató - Sale A. Pérez , Cambio de segunda base (2B): Entra E. Eugellés - Sale H. Bravo"
Y. González,falló en elevado al jardín izquierdo
R. León,falló en roletazo al campo corto (63)
L. Acosta,batea sencillo de roletazo al jardín izquierdo 
P. Dueńas,batea sencillo de línea al jardín central. L. Acosta avanza a segunda base
O. Peńa,"batea sencillo de roletazo al jardín izquierdo . P. Dueńas avanza a segunda base, L. Acosta avanza a tercera base"
T. Guerra,falló en elevado al jardín derecho
Cambio de,"campo corto (SS): Entra T. Guerra - Sale J. Arencibia , Cambio de jardín derecho (RF): Entra E. Terry - Sale Y. González"
L. González,falló en elevado
Y. Samón,falló en roletazo al campo corto (63)
A. Ayala,se embasa por Error probabilidad de Out de roletazo a tercera (5)
L. Segura,se embasa por fielder choice de roletazo a tercera (54). A. Ayala es Out
